Model,Level,Sparsity,Fiedler
mnist_lenet_100,0,1.0,3.085497408015445
mnist_lenet_100,1,0.7999874055415617,2.483967632923113
mnist_lenet_100,2,0.6399748110831234,1.993840246071271
mnist_lenet_100,3,0.5119647355163728,1.6683074398613644
mnist_lenet_100,4,0.40955919395465995,1.4067558145856225
mnist_lenet_100,5,0.327632241813602,0.9104481624353236
mnist_lenet_100,6,0.26209068010075565,0.6624064265998751
mnist_lenet_100,7,0.20965994962216625,0.299621374108978
mnist_lenet_100,8,0.16770780856423173,0.2280410099996506
mnist_lenet_100,9,0.1341435768261965,(0.0008894375861305814+0j)
mnist_lenet_100,10,0.10729219143576826,0j
mnist_lenet_100,11,0.08581863979848867,0j
mnist_lenet_100,12,0.06863979848866499,0j
mnist_lenet_100,13,0.054899244332493706,0j
mnist_lenet_100,14,0.04390428211586902,0j
mnist_lenet_100,15,0.0351007556675063,0j
mnist_lenet_100,16,0.02806045340050378,0j
mnist_lenet_100,17,0.02243073047858942,0.0
mnist_lenet_100,18,0.01792191435768262,0.0
mnist_lenet_100,19,0.014319899244332494,0.0
