Model,Level,Exp No,Sparsity,Fiedler
mnist_lenet_100,16,2,0.02806045340050378,0.0
mnist_lenet_100,16,3,0.02806045340050378,0.0
mnist_lenet_100,16,4,0.02806045340050378,0.0
mnist_lenet_100,17,0,0.02243073047858942,0.0
mnist_lenet_100,17,1,0.02243073047858942,0.0
mnist_lenet_100,17,2,0.02243073047858942,0.0
mnist_lenet_100,17,3,0.02243073047858942,0.0
mnist_lenet_100,17,4,0.02243073047858942,0.0
mnist_lenet_100,18,0,0.01792191435768262,0.0
mnist_lenet_100,18,1,0.01792191435768262,0.0
mnist_lenet_100,18,2,0.01792191435768262,0.0
mnist_lenet_100,18,3,0.01792191435768262,0.0
mnist_lenet_100,18,4,0.01792191435768262,0.0
mnist_lenet_100,19,0,0.014319899244332494,0.0
mnist_lenet_100,19,1,0.014319899244332494,0.0
mnist_lenet_100,19,2,0.014319899244332494,0.0
mnist_lenet_100,19,3,0.014319899244332494,0.0
mnist_lenet_100,19,4,0.014319899244332494,0.0
