Model,Level,Sparsity,Spectral Expansion,Performance,is_lotto
mnist_lenet_50_30,0,1.0,0.42027523726139315
mnist_lenet_50_30,1,0.7999756097560976,0.4193238047932403
mnist_lenet_50_30,2,0.6399512195121951,0.4180485209312427
mnist_lenet_50_30,3,0.5119268292682927,0.26570737377287046
mnist_lenet_50_30,4,0.4095121951219512,0.06390477066277711
mnist_lenet_50_30,5,0.32758536585365855,-0.16962047644852096
mnist_lenet_50_30,6,0.26202439024390245,-0.447171551834211
mnist_lenet_50_30,7,0.20958536585365853,-0.8059064412868593
mnist_lenet_50_30,8,0.16763414634146342,-1.6320483603282794
mnist_lenet_50_30,9,0.13407317073170733,-1.8925020729031554
mnist_lenet_50_30,10,0.10721951219512195,-2.2195554969219327
mnist_lenet_50_30,11,0.08573170731707318,-2.518267860495367
mnist_lenet_50_30,12,0.0685609756097561,-2.459636678973895
mnist_lenet_50_30,13,0.05480487804878049,-2.3651227952553877
mnist_lenet_50_30,14,0.043804878048780485,-2.1673885236258803
mnist_lenet_50_30,15,0.035,-2.023213099469088
mnist_lenet_50_30,16,0.02797560975609756,-1.827206868795844
mnist_lenet_50_30,17,0.022341463414634145,-1.8733895926340685
mnist_lenet_50_30,18,0.017829268292682925,-1.766353180286051
mnist_lenet_50_30,19,0.014219512195121952,-1.3583094435934027
mnist_lenet_50_30,20,0.011341463414634146,-1.0705267917599852
